object_id,grid_x,grid_y,frame_id
0,28,15,0
0,28,15,1
0,28,15,2
0,28,15,3
0,28,15,4
0,28,15,5
0,28,15,6
0,28,15,7
0,28,15,8
0,28,15,9
0,28,15,10
0,28,15,11
0,28,15,12
0,28,15,13
0,28,15,14
0,28,15,15
0,28,15,16
1,29,19,16
1,29,19,17
0,28,15,17
0,28,15,18
1,29,19,18
0,28,15,19
1,29,19,19
0,28,15,20
1,29,19,20
0,28,15,21
1,29,19,21
1,29,19,22
0,28,15,22
0,28,15,23
1,29,19,23
0,27,15,24
1,29,19,24
0,27,15,25
1,29,19,25
1,29,19,26
0,27,15,26
0,26,16,27
1,29,19,27
2,28,16,27
0,26,16,28
1,29,19,28
2,28,16,28
0,25,16,29
1,29,19,29
2,28,16,29
3,28,19,29
0,25,16,30
1,28,19,30
2,28,16,30
3,28,19,30
2,28,16,31
3,28,19,31
0,24,16,31
1,28,19,31
0,24,16,32
1,28,19,32
2,28,16,32
3,28,19,32
2,28,16,33
3,28,19,33
0,23,16,33
1,27,19,33
0,22,16,34
1,27,19,34
2,28,16,34
3,28,19,34
3,28,19,35
0,22,16,35
1,26,19,35
2,28,16,35
3,28,19,36
2,28,16,36
1,25,19,36
0,22,16,36
0,21,16,37
1,24,19,37
2,28,16,37
3,28,19,37
0,21,16,38
1,24,19,38
2,28,16,38
3,28,19,38
0,20,16,39
1,23,19,39
2,28,16,39
3,28,19,39
2,27,16,40
3,28,19,40
0,20,16,40
1,22,19,40
0,19,16,41
1,22,19,41
2,27,16,41
3,28,19,41
2,27,16,42
3,28,19,42
0,19,15,42
1,21,19,42
0,19,15,43
1,21,19,43
2,26,16,43
3,28,19,43
3,28,19,44
0,19,15,44
1,20,19,44
2,26,16,44
3,28,19,45
2,25,15,45
0,18,15,45
1,20,19,45
0,18,15,46
1,20,19,46
2,24,15,46
3,28,19,46
3,27,18,47
0,17,15,47
1,20,19,47
2,24,15,47
0,17,15,48
1,19,19,48
2,23,15,48
3,27,18,48
2,23,15,49
3,26,18,49
0,17,15,49
1,19,19,49
3,25,17,50
2,22,15,50
0,16,15,50
1,19,19,50
0,16,15,51
1,18,19,51
2,22,15,51
3,25,17,51
0,16,15,52
1,18,19,52
2,22,15,52
3,25,17,52
3,25,17,53
0,15,15,53
1,18,19,53
2,21,14,53
1,17,19,54
2,21,14,54
0,15,15,54
3,25,17,54
3,25,17,55
2,21,14,55
0,14,15,55
1,17,19,55
0,14,15,56
1,17,19,56
2,20,14,56
3,24,17,56
0,14,15,57
1,17,19,57
2,20,14,57
3,24,17,57
3,23,16,58
2,20,13,58
0,14,15,58
1,16,19,58
0,14,15,59
1,16,19,59
2,20,13,59
3,23,16,59
3,22,16,60
2,20,13,60
0,13,15,60
1,16,19,60
0,13,15,61
1,16,19,61
2,20,12,61
3,22,15,61
0,13,15,62
1,16,19,62
2,20,12,62
3,22,15,62
0,13,15,63
1,15,19,63
2,20,11,63
3,22,15,63
3,22,14,64
2,20,11,64
1,15,19,64
0,13,15,64
3,21,14,65
2,20,11,65
0,12,15,65
1,14,19,65
0,12,15,66
1,14,19,66
2,20,11,66
3,21,14,66
0,12,15,67
1,14,19,67
2,20,11,67
3,21,13,67
3,21,13,68
0,12,15,68
1,13,18,68
2,20,10,68
3,21,12,69
2,20,10,69
1,13,18,69
0,12,14,69
0,12,14,70
1,13,18,70
2,20,10,70
3,21,12,70
3,21,12,71
0,12,14,71
1,13,18,71
2,20,10,71
2,20,9,72
3,21,12,72
0,12,13,72
1,13,18,72
2,20,9,73
3,21,11,73
0,11,13,73
1,13,18,73
3,21,11,74
2,20,9,74
0,10,12,74
1,13,18,74
0,10,12,75
1,13,18,75
2,20,8,75
3,21,11,75
0,10,12,76
1,13,18,76
2,20,8,76
3,21,10,76
3,21,10,77
2,20,8,77
0,10,12,77
1,13,18,77
0,10,12,78
1,13,17,78
2,20,7,78
3,21,9,78
3,21,9,79
2,20,7,79
0,9,11,79
1,13,17,79
0,9,11,80
1,13,16,80
2,20,7,80
3,21,9,80
0,9,11,81
1,12,16,81
2,20,7,81
3,21,9,81
0,9,11,82
1,12,16,82
2,20,7,82
3,21,9,82
2,20,7,83
3,21,8,83
1,12,15,83
0,9,10,83
0,9,9,84
1,12,15,84
2,20,7,84
3,21,8,84
0,9,9,85
1,12,15,85
2,20,7,85
3,21,7,85
3,21,7,86
0,9,8,86
1,12,14,86
2,20,6,86
3,21,7,87
2,20,6,87
1,12,14,87
0,9,7,87
0,9,7,88
1,12,14,88
2,20,6,88
3,21,7,88
3,21,6,89
0,9,7,89
1,11,14,89
2,20,6,89
2,20,6,90
3,21,6,90
0,9,6,90
1,11,13,90
1,10,13,91
2,20,6,91
0,9,6,91
3,21,5,91
3,21,5,92
2,20,6,92
0,9,6,92
1,10,13,92
0,9,6,93
1,10,12,93
2,20,6,93
3,21,5,93
2,20,6,94
3,21,5,94
0,9,6,94
1,9,12,94
0,9,6,95
1,9,11,95
2,20,6,95
