object_id,grid_x,grid_y,frame_id
0,28,15,0
1,29,19,0
0,28,15,1
1,29,19,1
0,28,15,2
1,29,19,2
0,28,15,3
1,29,19,3
1,29,19,4
0,28,15,4
0,28,15,5
1,29,19,5
0,28,15,6
1,29,19,6
0,28,15,7
1,29,19,7
0,28,15,8
1,29,19,8
1,29,19,9
0,28,15,9
0,28,15,10
1,29,19,10
0,28,15,11
1,29,19,11
0,28,15,12
1,29,19,12
1,29,19,13
0,28,15,13
1,29,19,14
0,28,15,14
0,28,15,15
1,29,19,15
0,28,15,16
1,29,19,16
0,28,15,17
1,29,19,17
1,29,19,18
0,28,15,18
1,29,19,19
0,28,15,19
0,28,15,20
1,29,19,20
0,28,15,21
1,29,19,21
0,28,15,22
1,29,19,22
0,28,15,23
1,29,19,23
1,29,19,24
0,28,15,24
0,28,15,25
1,29,19,25
0,28,15,26
1,29,19,26
0,28,15,27
1,29,19,27
1,29,19,28
0,28,15,28
1,29,19,29
0,28,15,29
0,28,15,30
1,29,19,30
0,28,15,31
1,29,19,31
0,28,15,32
1,29,19,32
0,28,15,33
1,29,19,33
1,29,19,34
0,28,15,34
0,28,15,35
1,29,19,35
0,28,15,36
1,29,19,36
0,28,15,37
1,29,19,37
1,29,19,38
0,28,15,38
0,28,15,39
1,28,19,39
0,27,15,40
1,28,19,40
0,27,15,41
1,28,19,41
0,27,15,42
1,28,19,42
0,26,15,43
1,28,19,43
0,26,15,44
1,28,19,44
0,25,15,45
1,27,19,45
0,25,15,46
1,26,19,46
1,26,19,47
0,24,15,47
0,24,15,48
1,25,19,48
0,23,15,49
1,24,19,49
0,23,15,50
1,23,19,50
1,23,19,51
0,23,14,51
1,22,19,52
0,22,14,52
0,22,14,53
1,22,19,53
0,22,14,54
1,22,19,54
0,22,14,55
1,22,19,55
0,22,14,56
1,21,19,56
1,21,19,57
0,22,14,57
0,21,14,58
1,21,19,58
0,21,14,59
1,20,19,59
0,21,14,60
1,20,18,60
0,21,14,61
1,19,18,61
1,19,18,62
0,21,13,62
0,21,13,63
1,19,18,63
0,21,13,64
1,18,18,64
0,21,12,65
1,18,18,65
0,21,12,66
1,18,18,66
1,17,18,67
0,21,12,67
0,21,12,68
1,17,18,68
0,21,11,69
1,17,18,69
0,21,11,70
1,16,18,70
0,21,11,71
1,16,18,71
0,21,11,72
1,15,18,72
0,21,10,73
1,15,18,73
0,21,10,74
1,15,18,74
0,22,10,75
1,14,18,75
0,22,10,76
1,14,18,76
1,14,18,77
0,22,10,77
0,22,9,78
1,14,18,78
0,22,9,79
1,14,18,79
0,23,9,80
1,14,18,80
1,14,18,81
0,23,9,81
0,23,9,82
1,14,17,82
0,23,9,83
1,13,17,83
0,23,9,84
1,13,17,84
0,23,8,85
1,13,17,85
1,13,17,86
0,23,7,86
0,23,7,87
1,13,16,87
0,23,6,88
1,13,16,88
0,23,6,89
1,13,16,89
1,13,15,90
0,23,6,90
1,12,15,91
0,23,6,91
0,23,6,92
1,12,15,92
0,23,6,93
1,12,14,93
0,23,6,94
1,12,14,94
0,22,5,95
1,12,14,95
1,12,13,96
0,22,5,96
0,22,5,97
1,11,13,97
0,22,5,98
1,11,13,98
0,22,5,99
1,11,12,99
0,22,5,100
1,10,12,100
1,10,11,101
0,22,5,101
0,22,5,102
1,9,11,102
0,21,6,103
1,9,11,103
0,21,6,104
1,9,11,104
0,21,6,105
1,9,11,105
1,9,10,106
0,21,6,106
0,21,6,107
1,9,10,107
0,21,6,108
1,9,9,108
0,21,6,109
1,9,9,109
0,21,7,110
1,9,8,110
0,21,7,111
1,9,8,111
0,21,7,112
1,9,8,112
0,21,7,113
1,9,7,113
0,21,7,114
1,9,7,114
1,9,7,115
0,21,7,115
1,9,7,116
0,21,7,116
0,21,7,117
1,9,6,117
0,21,8,118
1,9,6,118
0,21,8,119
1,9,6,119
0,21,8,120
1,9,6,120
0,21,8,121
1,9,6,121
0,21,8,122
1,9,5,122
0,21,8,123
1,9,5,123
0,21,8,124
1,9,5,124
1,10,5,125
0,21,8,125
0,21,8,126
1,10,5,126
0,21,8,127
1,10,5,127
0,21,8,128
1,10,5,128
1,10,4,129
0,21,9,129
1,10,4,130
0,22,10,130
0,22,10,131
1,10,4,131
0,22,10,132
1,10,4,132
0,22,10,133
1,10,4,133
0,22,10,134
1,10,4,134
1,10,4,135
0,22,10,135
0,22,10,136
1,10,4,136
0,22,10,137
1,10,4,137
0,22,10,138
1,10,4,138
0,21,11,139
1,10,4,139
1,10,4,140
0,21,11,140
0,21,11,141
1,10,4,141
0,21,12,142
1,10,5,142
0,21,12,143
1,10,5,143
0,21,12,144
1,10,5,144
1,11,5,145
0,21,12,145
0,21,12,146
1,11,5,146
0,21,12,147
1,11,6,147
0,21,13,148
1,11,6,148
0,21,14,149
1,11,6,149
0,21,14,150
1,11,6,150
0,21,15,151
1,11,7,151
0,21,15,152
1,11,7,152
0,20,15,153
1,11,8,153
0,20,15,154
1,11,8,154
0,20,16,155
1,11,8,155
1,11,9,156
0,20,16,156
0,20,16,157
1,10,10,157
0,20,16,158
1,10,10,158
0,20,16,159
1,10,10,159
1,10,10,160
0,20,16,160
0,19,16,161
1,10,10,161
0,19,16,162
1,10,11,162
0,19,16,163
1,10,11,163
0,19,17,164
1,10,12,164
1,10,12,165
0,19,17,165
0,18,17,166
1,10,12,166
0,18,17,167
1,10,12,167
0,17,17,168
1,10,13,168
1,10,13,169
0,17,17,169
1,10,13,170
0,17,16,170
0,16,16,171
1,10,14,171
0,16,16,172
1,10,14,172
0,16,16,173
1,9,15,173
0,15,16,174
1,9,15,174
1,9,16,175
0,15,16,175
0,15,16,176
1,9,16,176
0,15,16,177
1,9,16,177
0,15,16,178
1,9,17,178
0,15,16,179
1,9,17,179
1,9,18,180
0,14,16,180
0,14,16,181
1,9,18,181
0,14,16,182
1,9,18,182
0,14,16,183
1,10,19,183
0,14,16,184
1,10,19,184
1,10,19,185
0,14,16,185
0,14,16,186
1,10,20,186
0,14,16,187
1,11,20,187
0,14,16,188
1,11,20,188
0,13,16,189
1,11,20,189
0,13,15,190
1,12,21,190
0,13,15,191
1,12,21,191
0,13,15,192
1,12,21,192
0,13,15,193
1,12,21,193
0,13,15,194
1,13,21,194
1,13,21,195
0,13,15,195
0,12,15,196
1,13,21,196
0,12,15,197
1,13,21,197
0,12,15,198
1,13,21,198
0,12,15,199
1,14,20,199
1,14,20,200
0,12,15,200
0,12,15,201
1,15,20,201
0,12,15,202
1,15,20,202
0,11,15,203
1,16,20,203
0,10,15,204
1,16,19,204
1,16,19,205
0,9,15,205
0,9,15,206
1,17,19,206
0,8,15,207
1,17,18,207
0,7,15,208
1,17,18,208
0,6,15,209
1,17,18,209
1,18,18,210
0,6,15,210
0,6,15,211
1,18,18,211
0,5,15,212
1,18,18,212
0,5,15,213
1,18,18,213
0,4,15,214
1,18,18,214
1,18,18,215
0,4,14,215
0,3,14,216
1,18,18,216
0,3,14,217
1,19,18,217
0,3,14,218
1,19,18,218
0,3,13,219
1,19,17,219
0,3,13,220
1,19,17,220
0,3,13,221
1,19,17,221
0,3,13,222
1,19,17,222
0,3,12,223
1,19,18,223
1,19,18,224
0,3,12,224
0,3,12,225
1,19,18,225
0,3,11,226
1,19,18,226
0,3,10,227
1,18,18,227
1,18,18,228
0,3,9,228
1,18,18,229
0,4,9,229
0,4,8,230
1,17,18,230
0,4,7,231
1,17,18,231
0,4,6,232
1,17,18,232
0,4,5,233
1,16,18,233
1,16,18,234
0,4,5,234
1,15,18,235
0,4,4,235
0,5,3,236
1,15,18,236
0,5,3,237
1,15,17,237
0,5,2,238
1,15,17,238
0,5,2,239
1,14,17,239
1,14,17,240
0,5,1,240
0,5,1,241
1,14,17,241
0,5,1,242
1,14,17,242
0,5,1,243
1,14,17,243
0,5,1,244
1,13,17,244
1,13,17,245
0,5,1,245
0,5,1,246
1,13,17,246
0,5,1,247
1,13,17,247
0,5,1,248
1,11,17,248
1,10,16,249
0,5,1,249
1,9,16,250
0,5,1,250
0,5,1,251
1,8,16,251
0,5,1,252
1,7,16,252
0,5,1,253
1,6,15,253
1,5,15,254
0,5,1,254
1,4,15,255
0,5,1,255
0,5,1,256
1,4,14,256
0,5,1,257
1,4,14,257
0,5,1,258
1,3,13,258
0,5,1,259
1,3,13,259
1,3,12,260
0,5,1,260
0,5,1,261
1,3,12,261
0,5,1,262
1,2,11,262
0,5,1,263
1,2,11,263
1,2,11,264
0,5,1,264
1,3,10,265
0,5,1,265
0,5,1,266
1,2,10,266
0,5,1,267
1,2,9,267
0,5,1,268
1,3,8,268
0,5,1,269
1,3,8,269
1,3,7,270
0,5,1,270
0,5,1,271
1,3,6,271
1,3,6,272
1,3,5,273
1,3,5,274
1,3,4,275
1,4,3,276
1,4,3,277
1,4,3,278
1,4,2,279
1,4,2,280
1,4,1,281
1,4,1,282
1,4,1,283
1,4,1,284
1,4,1,285
1,4,1,286
1,4,1,287
1,4,1,288
1,4,1,289
1,4,1,290
1,4,1,291
1,4,1,292
1,4,1,293
1,4,1,294
1,4,1,295
1,4,1,296
1,4,1,297
1,4,1,298
1,4,1,299
1,4,1,300
1,4,1,301
1,4,1,302
1,4,1,303
1,4,1,304
1,4,1,305
1,4,1,306
1,4,1,307
1,4,1,308
1,4,1,309
1,4,1,310
1,4,1,311
1,4,1,312
