object_id,grid_x,grid_y,frame_id
0,29,19,7
0,29,19,8
0,29,19,9
0,29,19,10
0,29,19,11
0,29,19,12
0,29,19,13
0,29,19,14
0,29,19,15
0,29,19,16
0,29,19,17
0,29,19,18
0,29,19,19
0,29,19,20
0,29,19,21
0,29,19,22
0,29,19,23
1,28,16,24
0,29,19,24
0,29,19,25
1,28,16,25
0,29,19,26
1,28,16,26
0,29,19,27
1,28,16,27
0,29,19,28
1,28,16,28
0,29,19,29
1,28,16,29
0,29,19,30
1,28,16,30
0,29,19,31
1,28,16,31
0,29,19,32
1,28,16,32
1,28,16,33
0,29,19,33
0,29,19,34
1,28,16,34
0,29,19,35
1,28,16,35
0,29,19,36
1,28,16,36
1,27,16,37
0,29,19,37
0,29,19,38
1,27,16,38
0,29,19,39
1,27,16,39
0,29,19,40
1,26,16,40
2,28,16,40
3,29,18,41
2,28,16,41
1,26,16,41
0,28,19,41
0,28,19,42
1,25,16,42
2,28,16,42
3,29,18,42
2,28,16,43
3,29,18,43
0,27,19,43
1,25,16,43
0,27,19,44
1,24,16,44
2,28,16,44
3,29,18,44
2,28,16,45
0,26,19,45
1,24,15,45
3,29,18,45
3,29,18,46
2,28,16,46
0,25,18,46
1,23,15,46
0,24,18,47
1,23,15,47
2,28,16,47
3,29,18,47
0,24,18,48
1,23,15,48
2,28,16,48
3,29,18,48
3,28,18,49
2,28,16,49
0,24,18,49
1,22,15,49
0,23,18,50
1,22,14,50
2,28,16,50
3,28,18,50
3,28,18,51
2,28,16,51
0,23,17,51
1,22,14,51
0,22,17,52
1,22,14,52
2,28,16,52
3,28,18,52
0,22,17,53
1,21,14,53
2,28,16,53
3,28,18,53
0,22,17,54
1,21,13,54
2,28,16,54
3,28,18,54
3,28,19,55
2,28,16,55
1,21,13,55
0,22,17,55
0,21,17,56
1,21,13,56
2,28,16,56
3,27,19,56
0,21,16,57
1,21,12,57
2,28,16,57
3,27,19,57
0,21,16,58
1,21,12,58
2,27,16,58
3,26,19,58
2,27,16,59
3,26,19,59
0,20,15,59
1,21,11,59
0,20,15,60
1,21,11,60
2,26,16,60
3,25,19,60
3,25,19,61
2,25,16,61
0,20,15,61
1,21,11,61
0,20,15,62
1,21,11,62
2,25,16,62
3,24,19,62
2,24,16,63
0,20,14,63
1,21,11,63
3,24,19,63
3,24,19,64
2,24,17,64
0,20,14,64
1,21,10,64
0,20,14,65
1,21,10,65
2,24,17,65
3,23,19,65
0,20,13,66
1,21,9,66
2,23,17,66
3,23,19,66
0,20,13,67
1,21,9,67
2,23,17,67
3,22,19,67
2,22,17,68
3,22,19,68
0,20,13,68
1,21,9,68
0,20,12,69
1,21,9,69
2,22,17,69
3,22,19,69
2,21,17,70
3,21,19,70
0,20,12,70
1,21,9,70
0,20,11,71
1,21,8,71
2,21,17,71
3,21,19,71
3,21,19,72
0,20,11,72
1,21,7,72
2,21,17,72
3,21,19,73
2,20,17,73
0,20,11,73
1,21,7,73
0,20,10,74
1,21,7,74
2,20,16,74
3,20,19,74
0,20,10,75
1,21,6,75
2,20,16,75
3,20,19,75
0,20,10,76
1,21,6,76
2,20,16,76
3,20,19,76
3,19,19,77
2,20,16,77
0,20,10,77
1,21,6,77
0,20,10,78
1,21,5,78
2,19,16,78
3,19,19,78
2,19,16,79
0,20,10,79
1,21,5,79
3,18,19,79
0,20,10,80
1,21,5,80
2,19,16,80
3,18,19,80
1,21,5,81
2,19,16,81
0,20,10,81
3,18,19,81
3,17,19,82
2,19,16,82
1,21,5,82
0,20,9,82
0,20,9,83
1,21,4,83
2,18,16,83
3,17,19,83
0,20,9,84
1,21,4,84
2,18,16,84
3,16,18,84
3,16,18,85
2,18,16,85
0,20,9,85
1,21,4,85
0,20,9,86
1,21,4,86
2,17,16,86
3,16,18,86
3,16,18,87
2,17,15,87
0,20,9,87
1,21,4,87
0,20,8,88
1,21,4,88
2,17,15,88
3,15,18,88
0,20,8,89
1,21,4,89
2,16,15,89
3,15,18,89
0,20,8,90
1,21,4,90
2,16,15,90
3,14,18,90
3,14,18,91
2,16,16,91
1,21,4,91
0,20,8,91
0,20,7,92
1,21,4,92
2,16,16,92
3,14,18,92
0,20,7,93
1,21,4,93
2,15,16,93
3,14,18,93
0,20,7,94
1,21,4,94
2,15,16,94
3,13,18,94
2,15,16,95
3,13,18,95
0,20,7,95
1,21,4,95
0,20,7,96
1,21,5,96
2,15,16,96
3,12,17,96
3,12,17,97
2,15,16,97
0,20,6,97
1,21,5,97
0,19,6,98
1,21,5,98
2,14,16,98
3,12,17,98
2,14,16,99
0,19,6,99
1,21,6,99
3,11,17,99
3,11,17,100
2,14,16,100
0,19,6,100
1,21,6,100
0,19,5,101
1,21,6,101
2,14,16,101
3,10,16,101
0,20,5,102
1,21,7,102
2,14,16,102
3,10,16,102
3,9,16,103
2,14,16,103
0,20,4,103
1,21,7,103
0,20,4,104
1,21,8,104
2,14,16,104
3,9,16,104
3,9,15,105
2,14,16,105
0,20,4,105
1,21,8,105
0,20,4,106
1,21,9,106
2,13,16,106
3,8,15,106
0,20,4,107
1,21,9,107
2,13,16,107
3,8,15,107
0,20,4,108
1,21,10,108
2,13,16,108
3,8,15,108
3,8,14,109
2,13,16,109
1,21,10,109
0,20,4,109
0,20,4,110
1,21,10,110
2,13,16,110
3,8,14,110
0,20,4,111
1,21,10,111
2,13,17,111
3,8,14,111
0,20,4,112
1,21,11,112
2,13,17,112
3,8,14,112
2,13,17,113
3,8,14,113
0,20,4,113
1,21,11,113
0,20,4,114
1,21,11,114
2,13,17,114
3,8,14,114
2,13,17,115
3,8,14,115
0,20,4,115
1,21,11,115
0,21,4,116
1,21,12,116
2,13,17,116
3,8,14,116
3,8,14,117
0,21,4,117
1,21,13,117
2,13,17,117
3,8,14,118
2,13,17,118
1,21,13,118
0,21,4,118
0,21,4,119
1,21,14,119
2,12,17,119
3,8,14,119
0,21,4,120
1,21,14,120
2,11,17,120
3,8,14,120
0,21,4,121
1,21,14,121
2,10,17,121
3,8,14,121
2,10,17,122
3,8,14,122
0,21,4,122
1,21,15,122
0,21,4,123
1,21,15,123
2,9,17,123
3,8,14,123
2,8,17,124
3,8,14,124
0,21,5,124
1,21,15,124
0,22,5,125
1,21,15,125
2,7,17,125
3,8,14,125
0,22,6,126
1,21,15,126
2,6,17,126
3,8,14,126
2,6,17,127
3,8,14,127
1,20,15,127
0,22,6,127
0,22,6,128
1,20,15,128
2,6,17,128
3,8,14,128
0,22,6,129
1,20,16,129
2,6,17,129
3,8,14,129
3,8,13,130
0,22,7,130
1,20,16,130
2,5,16,130
3,8,13,131
2,5,16,131
1,20,16,131
0,22,7,131
0,22,8,132
1,20,16,132
2,4,16,132
3,8,13,132
3,8,13,133
0,22,8,133
1,20,16,133
2,4,16,133
2,4,15,134
3,8,13,134
0,22,8,134
1,20,16,134
2,3,15,135
3,8,13,135
0,22,9,135
